the	các
storm	bão táp
union	liên hiệp
record	ghi lại
desk	bàn
fear	nỗi sợ
thanks	cảm ơn
fruit	trái cây
under	Dưới
expensive	đắt
yellow	màu vàng
conclusion	phần kết luận
prime	nguyên tố
shadow	bóng
struggle	đấu tranh
conclude	kết luận
analyst	nhà phân tích
dance	nhảy
limit	giới hạn
like	như
regulation	Quy định
being	đang
last	Cuối cùng
ring	nhẫn
largely	phần lớn
shift	sự thay đổi
revenue	thu nhập
mark	dấu
locate	định vị
county	quận
appearance	xuất hiện
package	gói
difficulty	khó khăn
bridge	cầu
recommend	giới thiệu
obvious	hiển nhiên
train	xe lửa
basically	về cơ bản
e-mail	e-mail
generate	tạo ra
anymore	nữa không
propose	cầu hôn
thinking	Suy nghĩ
possibly	có thể
trend	khuynh hướng
visitor	khách thăm quan
loan	tiền vay
currently	hiện tại
comfortable	Thoải mái
investor	nhà đầu tư
but	nhưng
profit	lợi nhuận
angry	bực bội
crew	phi hành đoàn
deep	sâu
accident	Tai nạn
male	Nam giới
meal	bữa ăn
hearing	thính giác
traffic	giao thông
muscle	cơ bắp
notion	khái niệm
capture	nắm bắt
prefer	thích hơn
truly	thực sự
earth	trái đất
Japanese	tiếng Nhật
chest	ngực
search	Tìm kiếm
thick	dày
cash	tiền mặt
museum	viện bảo tàng
beauty	sắc đẹp, vẻ đẹp
emergency	trường hợp khẩn cấp
unique	độc nhất
feature	đặc tính
internal	bên trong
ethnic	dân tộc
link	liên kết
stress	nhấn mạnh
content	Nội dung
select	lựa chọn
root	nguồn gốc
nose	mũi
declare	khai
outside	ở ngoài
appreciate	đánh giá
actual	thực tế
bottle	chai
hardly	khó khăn
setting	cài đặt
launch	phóng
dress	trang phục
file	tập tin
sick	đau ốm
outcome	kết quả
ad	quảng cáo
defend	phòng thủ
matter	vấn đề
judge	thẩm phán
duty	nhiệm vụ
sheet	tấm
ought	nên
ensure	đảm bảo
Catholic	Công giáo
extremely	vô cùng
extent	phạm vi
component	thành phần
mix	pha trộn
long-term	dài hạn
slow	chậm
contrast	tương phản
zone	vùng
wake	đánh thức
challenge	thử thách
airport	sân bay
chief	giám đốc
brown	nâu
standard	Tiêu chuẩn
shirt	áo sơ mi
pilot	Phi công
warn	cảnh báo
ultimately	cuối cùng
cat	con mèo
contribution	sự đóng góp
capacity	sức chứa
ourselves	chúng ta
estate	bất động sản
guide	hướng dẫn
circumstance	tình huống
snow	tuyết
English	Anh
politician	chính trị gia
steal	lấy trộm
pursue	theo đuổi
slip	trượt
percentage	phần trăm
meat	thịt
funny	buồn cười
neither	cũng không
soil	đất
influence	ảnh hưởng
surgery	phẫu thuật
correct	chính xác
Jewish	Người Do thái
blame	khiển trách
estimate	ước tính
due	đến hạn
basketball	bóng rổ
late	muộn
golf	golf
investigate	điều tra
crazy	khùng
significantly	đáng kể
chain	chuỗi
address	địa chỉ nhà
branch	chi nhánh
combination	sự phối hợp
just	chỉ
frequently	thường xuyên
governor	thống đốc
relief	cứu trợ
user	người dùng
dad	cha
kick	đá
part	phần
manner	cách thức
ancient	xưa
silence	khoảng lặng
rating	Xêp hạng
golden	vàng
motion	chuyển động
German	tiếng Đức
gender	giới tính
solve	giải quyết
fee	chi phí
landscape	phong cảnh
used	đã sử dụng
bowl	bát
equal	công bằng
long	Dài
official	chính thức
forth	ra
frame	khung
typical	điển hình
except	ngoại trừ
conservative	thận trọng
eliminate	loại bỏ
host	chủ nhà
hall	đại sảnh
trust	Lòng tin
ocean	đại dương
score	ghi bàn
row	hàng
producer	nhà sản xuất
afford	đủ khả năng
meanwhile	trong khi đó
regime	chế độ
division	phân chia
confirm	xác nhận
fix	sửa chữa
appeal	kháng cáo
mirror	gương
tooth	răng
smart	thông minh
length	chiều dài
entirely	hoàn toàn
rely	dựa
topic	đề tài
complain	than phiền
issue	vấn đề
variable	biến
back	trở lại
range	phạm vi
telephone	Điện thoại
perception	nhận thức
attract	thu hút
confidence	sự tự tin
bedroom	phòng ngủ
secret	bí mật
debt	món nợ
rare	hiếm
his	của anh ấy
tank	xe tăng
nurse	y tá
coverage	phủ sóng
opposition	Sự đối lập
aside	qua một bên
anywhere	ở đâu
bond	liên kết
file	tập tin
pleasure	vui lòng
master	bậc thầy
era	kỷ nguyên
requirement	yêu cầu
check	kiểm tra
stand	đứng
fun	vui vẻ
expectation	sự mong đợi
wing	canh
separate	tách rời
now	hiện nay
clear	trong sáng
struggle	đấu tranh
mean	nghĩa là
somewhat	phần nào
pour	đổ
stir	khuấy
judgment	phán đoán
clean	dọn dẹp
except	ngoại trừ
beer	bia
English	Anh
reference	tài liệu tham khảo
tear	nước mắt
doubt	nghi ngờ
grant	ban cho
seriously	nghiêm túc
account	tài khoản
minister	bộ trưởng, mục sư
totally	hoàn toàn
hero	anh hùng
industrial	công nghiệp
cloud	đám mây
stretch	căng ra
winner	người chiến thắng
volume	âm lượng
travel	du lịch
seed	giống
surprised	ngạc nhiên
rest	nghỉ ngơi
fashion	thời trang
pepper	tiêu
separate	tách rời
busy	bận
intervention	can thiệp
copy	sao chép
tip	tiền boa
below	phía dưới
cheap	giá rẻ
aim	mục đích
cite	trích dẫn
welfare	phúc lợi
vegetable	rau
gray	màu xám
dish	món ăn
beach	bờ biển
improvement	cải tiến
everywhere	mọi nơi
opening	khai mạc
overall	tổng thể
divide	chia
initial	ban đầu
terrible	khủng khiếp
oppose	phản đối
contemporary	đồng thời
route	lộ trình
multiple	nhiều
essential	Cần thiết
question	câu hỏi
league	liên đoàn
criminal	phạm tội
careful	cẩn thận
core	cốt lõi
upper	phía trên
rush	vội vã
necessarily	nhất thiết
specifically	đặc biệt
tired	mệt mỏi
rise	tăng lên
tie	cà vạt
employ	thuê
holiday	ngày lễ
dance	nhảy
vast	rộng lớn
resolution	độ phân giải
household	hộ gia đình
fewer	ít hơn
abortion	sự phá thai
apart	xa nhau
witness	nhân chứng
match	trận đấu
barely	vừa đủ
sector	ngành
representative	Tiêu biểu
lack	thiếu sót
beneath	ở trên
beside	bên cạnh
black	đen
incident	biến cố
limited	giới hạn
proud	tự hào
flow	lưu lượng
faculty	giảng viên
